species,life_form,source,notes_1,notes_2
Linaria angustissima,perennial,,,NA
Linaria guilanensis,perennial,,,NA
Linaria khalkhalensis,perennial,"Hamdi, S. M. M., Assadi, M., & Maasoumi, A. A. (2009). Linaria khalkhalensis (Linaria sect. Linaria, Scrophulariaceae), a new species from Iran. Kew bulletin, 64(2), 339-344.",manually_curated,NA
Linaria kurdica,perennial,,,NA
Linaria kurdica subsp. pycnophylla,perennial,,,NA
Linaria elymaitica,perennial,,,NA
Linaria fastigiata,perennial,,,NA
Linaria altaica,no_life_form_on_database,,,NA
Linaria vulgaris,perennial,,,NA
Linaria thibetica,perennial,,,NA
Linaria damascena,no_life_form_on_database,,,NA
Linaria remotiflora,perennial,,,NA
Linaria farsensis,perennial,,,NA
Linaria michauxii,perennial,,,NA
Linaria griffithsii,no_life_form_on_database,,,NA
Linaria unaiensis,perennial,,,NA
Linaria nurensis,perennial,,,NA
Linaria pyramidalis subsp. kopetdaghensis,perennial,,,NA
Linaria azerbaijanensis,perennial,,,NA
Linaria lineolata,perennial,,,NA
Linaria cretacea,perennial,,,NA
Linaria creticola,no_life_form_on_database,,,NA
Linaria incompleta,perennial,,,NA
Linaria meyeri,no_life_form_on_database,,,NA
Linaria pyramidalis,perennial,,,NA
Linaria schelkownikowii,no_life_form_on_database,,,NA
Linaria japonica,perennial,,,NA
Linaria transiliensis,no_life_form_on_database,,,NA
Linaria dalmatica,perennial,,,NA
Linaria rubioides,no_life_form_on_database,,,NA
Linaria grandiflora,perennial,,,NA
Linaria genistifolia,perennial,,,NA
Linaria striatella,perennial,,,NA
Linaria baligaliensis,no_life_form_on_database,,,NA
Linaria sessilis,perennial,,,NA
Linaria brachyceras,no_life_form_on_database,,,NA
Linaria venosa,perennial,,,NA
Linaria macroura,perennial,,,NA
Linaria popovii,perennial,,,NA
Linaria bamianica,perennial,,,NA
Linaria khorasanensis,perennial,,,NA
Linaria shahroudensis,no_life_form_on_database,,,NA
Linaria loeselii,perennial,,,NA
Linaria odora,perennial,,,NA
Linaria schirvanica,no_life_form_on_database,,,NA
Linaria leptoceras,perennial,,,NA
Linaria antilibanotica,perennial,,,NA
Linaria corifolia,perennial,,,NA
Linaria iconia,perennial,,,NA
Linaria golestanensis,perennial,,,NA
Limaria orientalis,no_life_form_on_database,,,NA
Linaria mazandaranensis,perennial,,,NA
Linaria confertiflora,perennial,,,NA
Linaria karajensis,no_life_form_on_database,,,NA
Linaria microsepala,perennial,,,NA
Linaria peloponnesiaca,perennial,,,NA
Linaria capraria,perennial,,,NA
Linaria repens,perennial,,,NA
Linaria albifrons,annual,,,NA
Linaria boushehrensis,annual,,,NA
Linaria flava,annual,,,NA
Linaria triphylla,annual,,,NA
Linaria parviracemosa,no_life_form_on_database,,,NA
Linaria virgata,no_life_form_on_database,,,NA
Linaria ventricosa,no_life_form_on_database,,,NA
Linaria cavanillesii,perennial,,,NA
Linaria nivea,perennial,,,NA
Linaria purpurea,perennial,,,NA
Linaria decipiens,no_life_form_on_database,,,NA
Linaria reflexa,annual,,,NA
Linaria warionis,no_life_form_on_database,,,NA
Linaria laxiflora,no_life_form_on_database,,,NA
Linaria peltieri,no_life_form_on_database,,,NA
Linaria haelava,annual,,,NA
Linaria joppensis,annual,,,NA
Linaria latifolia,annual,,,NA
Linaria accitensis,no_life_form_on_database,,,NA
Linaria oblongifolia subsp. haenseleri,annual,,,NA
Linaria benitoi,no_life_form_on_database,,,NA
Linaria oblongifolia,annual,,,NA
Linaria saturejoides,annual,,,NA
Linaria amoi,perennial,,,NA
Linaria verticillata,perennial,,,NA
Linaria glacialis,annual,,,NA
Linaria platycalyx,annual,,,NA
Linaria verticillata subsp. cuartanensis,perennial,"Sáez, L., & Crespo, M. B. (2005). A taxonomic revision of the Linaria verticillata group (Antirrhineae, Scrophulariaceae). Botanical Journal of the Linnean Society, 148(2), 229-244.",manually_curated,NA
Linaria anticaria,perennial,"Sáez, L., & Crespo, M. B. (2005). A taxonomic revision of the Linaria verticillata group (Antirrhineae, Scrophulariaceae). Botanical Journal of the Linnean Society, 148(2), 229-244.",manually_curated,NA
Linaria tristis,perennial,"Sáez, L., & Crespo, M. B. (2005). A taxonomic revision of the Linaria verticillata group (Antirrhineae, Scrophulariaceae). Botanical Journal of the Linnean Society, 148(2), 229-244.",manually_curated,NA
Linaria almijarensis,perennial,"Sáez, L., & Crespo, M. B. (2005). A taxonomic revision of the Linaria verticillata group (Antirrhineae, Scrophulariaceae). Botanical Journal of the Linnean Society, 148(2), 229-244.",manually_curated,NA
Linaria lilacina,perennial,"Sáez, L., & Crespo, M. B. (2005). A taxonomic revision of the Linaria verticillata group (Antirrhineae, Scrophulariaceae). Botanical Journal of the Linnean Society, 148(2), 229-244.",manually_curated,NA
Linaria tristis subsp. lurida,perennial,"Sáez, L., & Crespo, M. B. (2005). A taxonomic revision of the Linaria verticillata group (Antirrhineae, Scrophulariaceae). Botanical Journal of the Linnean Society, 148(2), 229-244.",manually_curated,NA
Linaria aeruginea,annual,,,NA
Linaria nevadensis,no_life_form_on_database,,,NA
Linaria tristis subsp. mesatlantica,perennial,"Sáez, L., & Crespo, M. B. (2005). A taxonomic revision of the Linaria verticillata group (Antirrhineae, Scrophulariaceae). Botanical Journal of the Linnean Society, 148(2), 229-244.",manually_curated,NA
Linaria tristis subsp. pectinata,perennial,"Sáez, L., & Crespo, M. B. (2005). A taxonomic revision of the Linaria verticillata group (Antirrhineae, Scrophulariaceae). Botanical Journal of the Linnean Society, 148(2), 229-244.",manually_curated,NA
Linaria thymifolia,annual,,,NA
Linaria caesia,annual,,,NA
Linaria atrofusca,no_life_form_on_database,,,NA
Linaria depauperata subsp. ilergabona,no_life_form_on_database,,,NA
Linaria supina,annual,,,NA
Linaria supina var. maritima,no_life_form_on_database,,,NA
Linaria polygalifolia subsp. aguillonensis,no_life_form_on_database,,,NA
Linaria depauperata,annual,,,NA
Linaria polygalifolia subsp. lamarckii,perennial,,,NA
Linaria depauperata var. hegelmaieri,no_life_form_on_database,,,NA
Linaria polygalifolia,no_life_form_on_database,,,NA
Linaria atlantica,no_life_form_on_database,,,NA
Linaria kavirensis,annual,,,NA
Linaria simplex,annual,,,NA
Linaria micrantha,annual,,,NA
Linaria arvensis,annual,,,NA
Linaria tursica,annual,"Valdés, B., & Lifante, Z. D. (1996). Habitual autogamy in Linaria tursica VALDES et CABEZUDO (Scrophulariaceae). Flora, 191(4), 329-333.",manually_curated,NA
Linaria amethystea,no_life_form_on_database,,,NA
Linaria saxatilis,perennial,,,NA
Linaria diffusa,annual,,,NA
Linaria bipunctata,annual,,,NA
Linaria ficalhoana,annual,,,NA
Linaria intricata,annual,,,NA
Linaria huteri,annual,,,NA
Linaria bubanii,annual,,,NA
Linaria glauca,annual,,,NA
Linaria glauca subsp. olcadium,perennial,,,NA
Linaria badalii,annual,,,NA
Linaria propinqua,no_life_form_on_database,,,NA
Linaria amethystea f. broussonetii,no_life_form_on_database,,,NA
Linaria munbyana,annual,,,NA
Linaria oligantha,annual,,,NA
Linaria ricardoi,annual,,,NA
Linaria alpina,annual,,,NA
Linaria arenaria,annual,,,NA
Linaria faucicola,annual,,,NA
Linaria filicaulis,no_life_form_on_database,,,NA
Linaria orbensis,annual,,,NA
Linaria hirta,annual,,,NA
Linaria canadensis,annual,"Wolfe, L. M., & Sellers, S. E. (1997). Polymorphic floral traits in Linaria canadensis (Scrophulariaceae). American Midland Naturalist, 134-139.",manually_curated,NA
