"species","life_form","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Chaunanthus acuminatus","perennial",1,8.73069,NA,NA,0.304592
"Chaunanthus petiolatus","perennial",2,7.826796,0.070487,0.049842,0.152296
"Chilocardamum castellanosii","perennial",3,7.122131,0.377687,0.218058,0.101531
"Chilocardamum patagonicum","perennial",9,7.226222,0.252987,0.084329,0.033844
"Chlorocrambe hastata","perennial",5,8.163803,0.290012,0.129697,0.060918
"Dictyophragmus englerianus","annual",NA,NA,NA,NA,NA
"Dictyophragmus punensis","annual",1,6.872128,NA,NA,0.304592
"Dryopetalon auriculatum","annual",NA,NA,NA,NA,NA
"Dryopetalon paysonii","no_life_form_on_database",NA,NA,NA,NA,NA
"Dryopetalon runcinatum","annual",29,7.608997,0.463767,0.086119,0.010503
"Englerocharis pauciflora","perennial",NA,NA,NA,NA,NA
"Hesperidanthus argillaceus","perennial",NA,NA,NA,NA,NA
"Hesperidanthus barnebyi","perennial",NA,NA,NA,NA,NA
"Hesperidanthus jaegeri","perennial",1,7.340187,NA,NA,0.304592
"Hesperidanthus linearifolius","perennial",69,7.721414,0.449328,0.054093,0.004414
"Ivania cremnophila","perennial",1,5.365976,NA,NA,0.304592
"Ivania juncalensis","no_life_form_on_database",NA,NA,NA,NA,NA
"Mostacillastrum andinum","perennial",7,7.789285,0.576089,0.217741,0.043513
"Mostacillastrum commune","annual",12,7.708812,0.55678,0.160729,0.025383
"Mostacillastrum gracile","perennial",3,6.652913,1.202577,0.694308,0.101531
"Mostacillastrum leptocarpum","perennial",5,7.431528,0.321041,0.143574,0.060918
"Mostacillastrum orbignyanum","perennial",25,7.493259,0.678721,0.135744,0.012184
"Mostacillastrum sagittatum","no_life_form_on_database",NA,NA,NA,NA,NA
"Mostacillastrum stenophyllum","perennial",12,8.012336,0.416265,0.120165,0.025383
"Mostacillastrum subauriculatum","annual",NA,NA,NA,NA,NA
"Mostacillastrum subscandens","perennial",3,7.192322,0.320756,0.185189,0.101531
"Mostacillastrum vaseyi","no_life_form_on_database",NA,NA,NA,NA,NA
"Neuontobotrys frutescens","perennial",12,6.959395,0.445578,0.128627,0.025383
"Neuontobotrys grayana","no_life_form_on_database",NA,NA,NA,NA,NA
"Neuontobotrys lanata","perennial",7,6.14366,0.888067,0.335658,0.043513
"Neuontobotrys linearifolia","perennial",NA,NA,NA,NA,NA
