"species","life_form","n","mean","sd","se"
"Lupinus albescens","perennial",18,203.166666666667,34.015999695645,8.0176480178767
"Lupinus albicaulis","annual",38,35.2368421052632,40.6570589665833,6.59544588455636
"Lupinus albifrons","perennial",45,64.3111111111111,42.6384494762342,6.35616476560333
"Lupinus albus","annual",13,112.692307692308,30.5624623118639,8.47650192075854
"Lupinus anatolicus","annual",NA,NA,NA,NA
"Lupinus andersonii","perennial",37,34.5945945945946,78.7561142104251,12.947425420299
"Lupinus angustifolius","annual",113,104.823008849558,36.0516073766125,3.39144993979514
"Lupinus arboreus","perennial",28,88.3214285714286,37.032571820782,6.99849824620911
"Lupinus arcticus","perennial",200,90.725,51.5213706452558,3.64311105592859
"Lupinus argenteus","perennial",183,103.098360655738,91.9223940928397,6.7950988990496
"Lupinus arizonicus","annual",59,232.152542372881,94.7085936382868,12.3300086662939
"Lupinus arvensis","perennial",NA,NA,NA,NA
"Lupinus aschenbornii","perennial",12,148.333333333333,60.9908090443043,17.6065300099111
"Lupinus atlanticus","annual",NA,NA,NA,NA
"Lupinus aureonitens","annual",1,207,NA,NA
"Lupinus ballianus","perennial",14,120.428571428571,38.2878054209959,10.2328464269166
"Lupinus bandelierae","perennial",NA,NA,NA,NA
"Lupinus bangii","perennial",NA,NA,NA,NA
"Lupinus benthamii","annual",20,86.45,28.852574454138,6.45163178053265
"Lupinus bicolor","annual",78,92.8461538461538,62.3952789012985,7.06487413389872
"Lupinus bogotensis","perennial",14,124.285714285714,62.2246903400257,16.6302480178913
"Lupinus bracteolaris","annual",17,186.058823529412,29.7898275176177,7.22509443670996
"Lupinus brevicaulis","annual",96,129.614583333333,99.7182736557207,10.1774536869889
"Lupinus breweri","perennial",19,-12.0526315789474,38.5839253866894,8.85175955819434
"Lupinus cervinus","perennial",3,40.3333333333333,15.3731367434669,8.87568463712956
"Lupinus chachas","perennial",NA,NA,NA,NA
"Lupinus chamissonis","perennial",18,92.1111111111111,44.2664245209536,10.4336963192163
"Lupinus chrysanthus","perennial",NA,NA,NA,NA
"Lupinus citrinus","annual",NA,NA,NA,NA
"Lupinus concinnus","annual",89,175.955056179775,97.7432757641112,10.3607665094835
"Lupinus cosentinii","annual",14,142.357142857143,18.6325073371871,4.97974705087897
"Lupinus crotalarioides","perennial",9,217.555555555556,12.797569213635,4.26585640454499
"Lupinus cumulicola","perennial",NA,NA,NA,NA
"Lupinus diffusus","perennial",30,254.066666666667,45.3681745761036,8.28305753605478
