"species","life_form","n","mean","sd","se"
"Lupinus albescens","perennial",18,25.6666666666667,10.8736053872507,2.56293336842384
"Lupinus albicaulis","annual",38,73.1578947368421,14.7712765753098,2.3962174779623
"Lupinus albifrons","perennial",45,84.3555555555556,12.3751135083051,1.8447730022564
"Lupinus albus","annual",13,66.6923076923077,18.3502253182562,5.08943679240693
"Lupinus anatolicus","annual",NA,NA,NA,NA
"Lupinus andersonii","perennial",37,76.1621621621622,13.5370141002642,2.22547140922177
"Lupinus angustifolius","annual",113,50.1769911504425,21.0306876494529,1.97840067482975
"Lupinus arboreus","perennial",28,77.5714285714286,20.8067449381357,3.93210519278993
"Lupinus arcticus","perennial",200,59.755,20.3431609141721,1.43847870331802
"Lupinus argenteus","perennial",183,45.5464480874317,18.7108353152316,1.38314474623472
"Lupinus arizonicus","annual",59,72.4745762711864,20.802317453959,2.70823105520831
"Lupinus arvensis","perennial",NA,NA,NA,NA
"Lupinus aschenbornii","perennial",12,81.5833333333333,9.89451945025705,2.85630173405395
"Lupinus atlanticus","annual",NA,NA,NA,NA
"Lupinus aureonitens","annual",1,45,NA,NA
"Lupinus ballianus","perennial",14,78.7857142857143,20.1080870506163,5.37411231763086
"Lupinus bandelierae","perennial",NA,NA,NA,NA
"Lupinus bangii","perennial",NA,NA,NA,NA
"Lupinus benthamii","annual",20,86.95,5.95133775319731,1.330759577321
"Lupinus bicolor","annual",78,76.1923076923077,16.3063669282156,1.84633247831534
"Lupinus bogotensis","perennial",14,41.3571428571429,12.8038884890318,3.42198313888683
"Lupinus bracteolaris","annual",17,16.7058823529412,6.76170009947899,1.63995315993537
"Lupinus brevicaulis","annual",96,40.9479166666667,18.2210807881344,1.85968127053995
"Lupinus breweri","perennial",19,72.8421052631579,18.7979406611313,4.31254335202872
"Lupinus cervinus","perennial",3,94.6666666666667,2.3094010767585,1.33333333333333
"Lupinus chachas","perennial",NA,NA,NA,NA
"Lupinus chamissonis","perennial",18,88.5,5.4259723986202,1.27891395919846
"Lupinus chrysanthus","perennial",NA,NA,NA,NA
"Lupinus citrinus","annual",NA,NA,NA,NA
"Lupinus concinnus","annual",89,70.1123595505618,19.6673692619892,2.08473697230108
